time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-10 00:00:00+00:00,2,2,1,1
2026-04-11 00:00:00+00:00,3,3,1,1
2026-04-12 00:00:00+00:00,21,11,0,0
2026-04-13 00:00:00+00:00,17,7,1,1
2026-04-14 00:00:00+00:00,22,10,0,0
2026-04-15 00:00:00+00:00,37,11,0,0
2026-04-16 00:00:00+00:00,15,8,4,2
2026-04-17 00:00:00+00:00,18,8,1,1
2026-04-18 00:00:00+00:00,4,4,0,0
2026-04-19 00:00:00+00:00,17,11,0,0
2026-04-20 00:00:00+00:00,47,22,0,0
2026-04-21 00:00:00+00:00,43,19,0,0
2026-04-22 00:00:00+00:00,74,28,0,0
2026-04-23 00:00:00+00:00,64,26,0,0
